lat,lon,score
21.324,-158.089,5.1376263779619915
28.596,-81.363,2.941500522089685
29.67,-95.129,3.6561255217443067
29.734,-95.258,4.438652523462634
30.462,-91.179,2.378441897903813
32.295,-110.982,4.83272726103297
32.329,-90.183,2.8489366399009066
32.676,-115.483,3.114714366783374
32.79,-116.944,1.9415458235388625
32.82,-96.86,2.542250686377349
33.458,-112.047,7.353821755276191
33.504,-112.096,2.5687725366198344
33.553,-86.815,5.350729648858155
33.688,-84.291,7.92151697586064
33.803,-118.22,1.9608893181006022
33.955,-118.43,3.4728895883955766
34.0,-117.416,2.421172834811029
34.067,-118.227,1.2333382353400346
34.1,-117.492,2.714137714848813
34.49,-120.047,6.796629418784622
34.511,-117.326,7.379521024658085
34.638,-120.458,16.11687855152949
34.756,-92.281,3.9192767332488554
35.134,-106.585,4.986750589309039
35.24,-80.786,1.962715040871923
35.614,-97.475,5.075309686646943
35.856,-78.574,3.2893037834276555
36.142,-115.079,3.402016992783143
36.205,-95.977,6.129889272215801
36.785,-119.773,2.7386043343763755
37.104,-76.387,2.857698287130887
37.283,-79.885,2.0189581710492526
37.348,-121.895,1.9027457647075436
37.557,-77.4,2.09374184958525
37.96,-122.357,4.909761199586248
38.103,-122.238,5.700445333716406
38.229,-85.655,2.1659304724648294
38.614,-121.368,2.9827830395051462
38.656,-90.198,0.8823226142517888
38.922,-77.013,3.73540028228002
39.055,-76.878,3.550492890598733
39.117,-94.636,1.0370146741356927
39.129,-84.504,2.801581178708036
39.311,-76.474,2.6792927258807975
39.525,-119.808,4.703917818718652
39.706,-79.012,4.9759406654190625
39.739,-75.558,1.1644005169461773
39.92,-77.31,5.112841169654788
39.935,-75.125,2.470119731745431
40.31,-78.915,5.103068541641302
40.598,-111.894,5.911344643660834
40.721,-74.193,1.5199290286764269
40.736,-111.872,5.705469860916807
40.736,-73.822,2.176168095333384
40.777,-124.179,4.74371084721469
40.777,-111.946,9.331652295609478
40.784,-111.931,5.770420807794541
40.868,-73.878,2.936666848483628
41.182,-104.778,4.8577618519055035
41.301,-72.903,1.4202922779057825
41.492,-81.678,1.3800963014060152
42.863,-71.38,3.103169112526773
43.548,-96.701,2.7781743157527705
43.601,-116.348,2.043529234347443
43.608,-72.983,3.4574825645127465
43.66,-70.269,5.6768544558624185
45.138,-93.208,1.5508801984446174
45.497,-122.603,3.7562881281517697
46.696,-68.033,3.8017226033789693
46.825,-100.768,6.027826190005389
47.568,-122.309,4.949808854072496
64.846,-147.727,8.203215124704426
